Distance Matrix
0.00,,,,,,,,,,,,,
100.15,0.00,,,,,,,,,,,,
109.79,96.98,0.00,,,,,,,,,,,
31.63,70.21,103.57,0.00,,,,,,,,,,
114.58,99.32,4.80,108.06,0.00,,,,,,,,,
176.59,180.30,83.84,180.14,81.07,0.00,,,,,,,,
67.93,163.87,137.86,99.19,142.25,175.59,0.00,,,,,,,
98.65,130.55,50.37,107.56,52.98,79.29,100.71,0.00,,,,,,
73.07,27.81,84.85,44.64,88.24,168.35,136.07,109.73,0.00,,,,,
185.78,147.94,76.21,176.45,71.41,73.62,209.96,111.25,147.57,0.00,,,,
69.92,167.68,145.22,101.49,149.65,183.83,8.24,108.81,139.93,217.76,0.00,,,
216.42,169.58,107.54,205.17,102.77,97.08,242.24,143.39,173.05,32.28,250.02,0.00,,
173.45,200.69,105.46,184.63,104.50,44.32,155.56,77.09,183.50,116.88,163.57,141.40,0.00,
134.02,171.28,82.77,147.14,83.54,62.53,117.17,41.44,151.11,120.60,125.32,150.26,40.04,0.00
